#,Year,Country,City,Date,Countries,Contestants
33,2026,Ivory Coast,Yamoussoukrou,26th June - 4th July,,
32,2025,Botswana,Gaborone,8th June - 18th June,20,110
31,2024,South Africa,Johannesburg,12th Aug - 22nd Aug,27,142
30,2023,Rwanda,Kigali,13th May - 22nd May,31,164
29,2022,Morocco,Ben Guerir,20th June - 29th June,9,44
28,2021,Tunisia,Sousse (Remote),18th May - 27th May,11,69
27,2019,South Africa,Cape Town,31st March - 6th April,11,54
26,2018,Kenya,Nairobi,23th June - 30th June,9,43
25,2017,Morocco,Rabat,,10,46
24,2016,Senegal,Dakar,21st Apr - 31st Apr,8,45
23,2015,Nigeria,Abuja,,9,
22,2013,Nigeria,Abuja,,11,42
21,2012,Tunisia,Tunis,,9,28
20,2010,Ivory Coast,Yamoussoukro,,9,34
19,2009,South Africa,Pretoria,,13,48
18,2008,Benin,Cotonou,,11,38
17,2007,Nigeria,Lagos,5th Apr - 15th Apr,9,32
16,2006,Senegal,Dakar,,11,42
15,2005,Algeria,Algiers,,8,32
14,2004,Tunisia,Tunis,,11,40
13,2003,Mozambique,Maputo,,12,
12,2002,South Africa,Pretoria,,12,
11,2001,Burkina Faso,Ouagadougou,,8,
10,2000,South Africa,Cape Town,,7,
9,1998,Morocco,Rabat,,6,
8,1997,Benin,Cotonou,,4,
7,1996,Uganda,,,,
6,1995,Morocco,Ifrane,,6,
5,1994,Ivory Coast,Yamoussoukro,,3,
4,1993,Senegal,Dakar,,4,
3,1991,Kenya,Nairobi,,3,
2,1989,Nigeria,Ibadan,,9,
1,1987,Morocco,Rabat,,7,